,Bar Name,Address,Phone Number,Description,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
14,Discount Suit Company,"29 Wentworth Street, London, E1 7TB",+44 (0) 20 7247 8755,"Fun, fun, fun basement bar a stone's throw from Spitalfields. Some of the very best cocktails, service and a great soundtrack that'll have you dancing on the tables!",5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 1AM,5PM - 2AM,2PM - 2AM,5PM - 12AM
15,El Camion,"25-27 Brewer Street, London, W1F 0RR",+44 (0) 20 7734 7711,"A Soho stalwart with an outstanding, no-frills Mexican restaurant upstairs and a very naughty late-night dive bar in the basement, where many tequilas are always had... Followed my much dancing!",12PM - 3AM,12PM - 3AM,12PM - 3AM,12PM - 3AM,12PM - 3AM,12PM - 3AM,Closed
16,Happiness Forgets,"8-9 Hoxton Square, London, N1 6NU",+44 (0) 20 7613 0325,"Ali Burgess' world-famous, Hoxton Square basement bar… and in our opinion, still one of the greatest spots to grab a well-crafted drink when you're East. Impeccable every time!",5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM
17,The Hide,"39-45 Bermondsey Street, London, SE1 3XF",+44 (0) 20 7202 5921,"A brilliant little cocktail bar at the top of Bermondsey Street, showcasing London based producers only, with a fab selection of local beers and cocktails on tap too.",Closed,5PM - 12AM,5PM - 1AM,5PM - 1AM,5PM - 2AM,5PM - 2AM,Closed
18,Homeboy Bar - Islington,"108 Essex Road, London, N1 8LX",+44 (0) 20 7580 1960,This neighbourhood cocktail bar sees modern Irish hospitality brought to London by two of its native sons. Expect balanced cocktails alongside perfect pints of Guinness.,3PM - 11PM,3PM - 11PM,3PM - 11PM,3PM - 11PM,3PM - 1AM,3PM - 1AM,3PM - 11PM
19,The Cocktail Club - Shaftesbury Avenue,"224a Shaftesbury Avenue, London, WC2H 8EB",+44 (0) 20 7580 1960,"Tattoo style artwork, rum-related antiques and a lively bar team always ready to make something fun, can be found at this after-work favourite.",4PM - 12:30AM,4PM - 12:30AM,4PM - 12:30AM,4PM - 12:30AM,4PM - 12:30AM,3PM - 12:30AM,4PM - 12:30AM
20,The Luggage Room at London Marriott Hotel Grosvenor Square,"London Marriott Grosvenor Square, 84-86 Duke Street, London, W1K 6JP",+44 (0) 20 7493 1232,"This elegant, clandestine cocktail bar - previously the hotel's left luggage room - is a rare and relaxing treat in this busy part of town.",Closed,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 2AM,5PM - 2AM,Closed
21,Merchant House,"13 Well Court, London, EC4M 9DN",+44 (0) 20 7332 0140,"Uncover this award-winning bar, tucked away down a court off Bow Lane. Surprisingly large downstairs with a very impressive list of both gin, whisky and rum - plus extremely knowledgeable bar staff who always deliver exactly what you fancy.",5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,3PM - 1AM,Closed
22,Sager + Wilde Paradise Row,"250 Paradise Row, London, E2 9LE",+44 (0) 79 3092 5498,"Situated in the industrial Railway Arches of Paradise Row, Sager + Wilde offers seasonal dishes, alongside hand-curated cocktails - with owner and wine-world rockstar Michael Sager influencing the impressive wine list.",5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 10PM
23,Mr Fogg's Residence,"15 Bruton Lane, London, W1J 6JD",+44 (0) 20 7036 0608,Charm your way past the doorman and revel in the Mayfair decadence of this eccentric cocktail bar.,5PM - 1AM,5PM - 1AM,4PM - 2AM,4PM - 2AM,4PM - 2AM,4PM - 2AM,4PM - 11PM
24,Nightjar,"129 City Road, London, EC1V 1JB",+44 (0) 20 7253 4101,"A classic speakeasy-style cocktail bar, just off Old Street roundabout, with live jazz and blues to keep you entertained plus award-winning drinks and rare spirits to keep you well-watered.",6PM - 12AM,6PM - 12AM,6PM - 12AM,6PM - 1AM,6PM - 2AM,3PM - 2AM,3PM - 12AM
25,Opium,"15-16 Gerrard Street, London, W1D 6JE",+44 (0) 20 7734 7276,"A 1920's Shanghai themed bar, spread over multiple floors, in the heart of Chinatown. Dim sum and cocktails are all served late, so it's a great place to end the night.",5PM - 1AM,5PM - 1AM,5PM - 2AM,5PM - 2AM,5PM - 3AM,5PM - 3AM,5PM - 12AM
26,Quaglino's,"16 Bury Street, London, SW1Y 6AJ",+44 (0) 20 7930 6767,"A sprawling, glamorous cocktail bar and restaurant with late night live music - the central, glowing amber bar is a real draw.",5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 1AM,11:30AM - 1AM,12PM - 6PM
27,Satan's Whiskers,"343 Cambridge Heath Road, London, E2 9RA",+44 (0) 20 7739 8362,"Don't be fooled by the tatty exterior, inside you'll find one of the coolest little bars in East London. Hip-hop, taxidermy, world-class drinks and a raw-garnish bar thrown in for good measure. They also make the most delicious bottle cocktails to take away with you. Rude not to really...",5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM
28,Skylon,"Royal Festival Hall, Belvedere Road, London, SE1 8XX",+44 (0) 20 7654 7800,A destination bar set within the iconic Royal Festival Hall... Floor to ceiling windows in this bar make it a great lunch spot with a view and the Martinis are excellent.,12PM - 11PM,12PM - 11PM,12PM - 12AM,12PM - 12AM,12PM - 12AM,11:30AM - 12AM,11:30AM - 11AM
29,Soho Grind,"19 Beak Street, London, W1F 9RP",+44 (0) 20 7287 7073,"Situated in the heart of Soho, Grind is a coffee shop with a hidden cocktail bar downstairs. Whether you're visiting during the day for a coffee or stopping by at night for our classic Espresso Martini, Soho Grind has you covered.",7:30AM - 6PM,7:30AM - 6PM,7:30AM - 9PM,7:30AM - 9PM,7:30AM - 9PM,10AM - 9PM,10AM - 6PM
30,The Sun Tavern,"441 Bethnal Green Road, London, E2 0AN",+44 (0) 20 7739 4097,"An unassuming proper pub to the un-trained eye, where you’ll uncover some of the best cocktails in the city, live music, international bar takeovers and London’s largest Poitín collection.",12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 2AM,12PM - 2AM,12PM - 2AM,12PM - 12AM
31,Trailer Happiness,"177 Portobello Road, London, W11 2DY",+44 (0) 20 7041 9833,An award-winning tiki style basement drinking den tucked underneath Portobello Road - and one of the few London Cocktail Week bars that have been with us since the beginning!,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12:30AM,5PM - 1AM,4PM - 1AM,4PM - 12AM
32,The Last Talisman,"171-173 Bermondsey Street, London, SE1 3UW",+44 (0) 20 8189 9546,"Expertly crafted cocktails, a sizzling Asian grill, modern decor and a decadent backdrop of live entertainment. Discover Good Fortune at The Last Talisman on Bermondsey Street.",5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 12AM,5PM - 2AM,11AM - 2AM,11AM - 2AM
33,The Parlour at The Zetter Clerkenwell,"49-50 St Johns Square, London, EC1V 4JJ",+44 (0) 20 7324 4545,"The original Zetter's quirky, old-fashioned cocktail bar with ridiculously, brilliant taxidermy and outstanding drinks in the heart of Clerkenwell.",Closed,4PM - 11PM,4PM - 11PM,4PM - 11:30PM,4PM - 12AM,4PM - 12AM,12PM - 5PM
34,Shochu Lounge at ROKA Charlotte Street,"37 Charlotte Street, London, W1T 1RR",+44 (0) 20 7580 6464,"Tucked underneath ROKA, the central bar is the star of the show here as you descend the stairs. Japanese ingredients make for fantastic cocktails in this cherry blossom filled basement.",Closed,Closed,5:30PM - 12AM,5:30PM - 12AM,5:30PM - 12AM,5:30PM - 12AM,Closed
35,100 Wardour St and The Den,"100 Wardour Street, London, W1F 0TN",+44 (0) 20 7314 4000,"A relaxed and stylish lounge bar up top, with a cavernous Soho basement bar below - where live music and cocktails both go late into the night.",4PM - 2AM,4PM - 2AM,4PM - 2AM,4PM - 2AM,4PM - 2AM,12PM - 2AM,5PM - 11AM
36,Gillray's Steakhouse & Bar at London Marriott County Hall,"London Marriott County Hall, Westminster Bridge Road, London, SE1 7PB",+44 (0) 20 7902 8000,"With over 100 different gins to sample, Gillray’s Bar is the gin expert on the South Bank. Discover it whilst you marvel at the views over the River Thames and the Houses of Parliament.",12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 10PM
37,Little Bat,"54 Islington Park Street, London, N1 1PX",+44 (0) 20 7359 6070,"The cocktail bar that not every neighbourhood has, but every neighbourhood needs. A great spot for groups as well as an intimate date, best known for its inventive cocktails and yummy brunch menu.",6PM - 12AM,6PM - 12AM,6PM - 12AM,6PM - 1AM,6PM - 1AM,6PM - 1AM,6PM - 12AM
38,The Escapologist,"35 Earlham Street, London, WC2H 9LD",+44 (0) 20 7240 5142,"Riotous Victorian-styled gentleman's club with an excellent, extensive cocktail list.",4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,Closed,Closed
39,Black Parrot Bar,"8 Bride Court, London, EC4Y 8DU",+44 (0) 20 3802 4451,"A dark-blue haven hidden away in the heart of Fleet Street, from the same owners as Merchant House. They have one of the world's best rum selections here, so order something tasty to sip neat or add to one of their Caribbean-inspired cocktails.",Closed,5PM - 12AM,5PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 11PM,Closed
40,Two One Four,"214 Bermondsey Street, London, SE1 3TQ",+44 (0) 20 7403 6875,"Two One Four is an underground gin bar located in Bermondsey, a tourist hotspot and home to many vibrant venues like this one. To catch good vibes and enjoy good drinks, Two One Four is well worth taking a trip south of the river for.",5PM - 11PM,5PM - 11PM,5PM - 12AM,5PM - 1:30AM,5PM - 1:30AM,4PM - 10:30PM,Closed
41,108 Bar & Brasserie,"108 Marylebone Lane, London, W1U 2QE",+44 (0) 20 7969 3900,"A chic all-day brasserie set in the heart of Marylebone, with gorgeous red leather seats, wonderful classic cocktails, divine dishes and a heated terrace.",12PM - 9:45PM,12PM - 9:45PM,12PM - 9:45PM,12PM - 9:45PM,12PM - 9:45PM,12PM - 9:45PM,12PM - 2:45PM
42,Swift Soho,"12 Old Compton Street, London, W1D 4TQ",St Martin's Martini - £8,"A legendary spot on Old Compton Street with a more casual, bright white setting for Sgroppinos upstairs and a darker, romantic basement for Martinis once the sun sets.",3PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 10:30PM
43,Disrepute,"4 Kingly Court, London, W1B 5PW",+44 (0) 20 7494 2505,"An underground cocktail den decked out in luxurious 60's-style velvet, lots of gold and tube lighting that makes it feel like you've stepped into a futuristic first class train carriage for a decadent drink.",4PM - 3AM,4PM - 3AM,4PM - 3AM,4PM - 3AM,4PM - 3AM,4PM - 3AM,4PM - 1AM
44,Bar Américain,"20 Sherwood Street, London, W1F 7ED",+44 (0) 77 3181 1487,"A gorgeous wood panelled, opulently art deco cocktail lounge hidden deep within Brasserie Zédel. A gorgeous oasis of calm right in the heart of the glittering West End.",5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,4PM - 12AM,3PM - 12AM,4PM - 11PM
45,Spiritland King's Cross,"9-10 Stable Street, London, N1C 4AB",+44 (0) 79 0871 4270,"Super hip, music-led cocktail bar just up from Granary Square, with nightly DJ sets, a podcast recording studio to peer into, one of the best sound systems in the world and superb cocktails to match!",9AM - 11PM,9AM - 11PM,9AM - 11PM,9AM - 1AM,9AM - 1AM,10AM - 1AM,10AM - 10PM
46,Ever After,"9 Hoxton Square, London, N1 6NU",+44 (0) 20 7613 3689,"An all-day spot from the same owner as Happiness Forgets, and handily just upstairs. Drop in for a Frozen Martini or a Milk Punch Sherry Cobbler and stay for relaxed small plates and divine chocolate mousse.",3PM - 11PM,3PM - 11PM,3PM - 11PM,3PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM
47,LUCA,"88 St John Street, London, EC1M 4EH",+44 (0) 20 3859 3000,"Luca is the award-winning Italian restaurant and bar from the team behind The Clove Club, serving the finest British and Italian ingredients. Seasonal aperitifs and one of London’s finest Italian wine lists.",Closed,6PM - 10PM,12PM - 10PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,Closed
48,"The London EDITION: Lobby Bar, Punch Room & Berners Tavern","10 Berners Street, London, W1T 3NP",+44 (0) 20 7781 0000,"An outstanding restaurant with jaw dropping interiors, a glamorous design-led lobby bar and a fantastic clandestine late night cocktail lounge - all under the roof of this wonderful hotel.",12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 11PM
49,The Meister Bar at German Gymnasium,"1 King's Boulevard, London, N1C 4BU",+44 (0) 20 7287 8000,Late-night glamour and delightful drinks at this chic bar - found upstairs on the first floor in this stunning all-day grand café.,11:30AM - 12AM,11:30AM - 12AM,11:30AM - 12AM,11:30AM - 1AM,11:30AM - 1AM,11AM - 1AM,11AM - 11PM
50,Coupette,"423 Bethnal Green Road, London, E2 0AN",Out Of This World - £8,A welcome touch of French class in the heart of Bethnal Green. Come to Coupette for the Champagne Pina Colada and stay for the croque monsieurs and joie de vivre!,6PM - 11:30PM,6PM - 11:30PM,6PM - 11:30PM,6PM - 11:30PM,5PM - 1AM,5PM - 1AM,6PM - 10:30PM
51,TT Liquor: Cellar Bar & Roof Terrace,"17B Kingsland Road, London, E2 8AA",+44 (0) 20 3553 0616,"A multi-faceted establishment, which boasts a roof terrace an intimate cellar bar, a specialist liquor store and also an extensive range of experiences from cocktail-making classes and tasting and even a 52 seater cinema!",Closed,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,Closed
52,Burlock,"31 Duke Street, London, W1U 1LG",+44 (0) 20 7935 3303,"A stone’s throw away from Bond Street station is this Cuban-themed party bar with a nod to the 1920’s and dancing until the wee hours. With FAM on the ground floor, there's a separate set of stairs to take you down to this fun basement bar - stacked full of rum.",Closed,5PM - 11PM,5PM - 12AM,5PM - 2AM,5PM - 3AM,12PM - 3AM,Closed
53,Nine Lives,"8 Holyrood Street, London, SE1 2EL",+44 (0) 20 7407 8226,Subterranean tropical oasis filled with beautiful tunes and even more beautiful booze. Sustainability is the name of the game and every detail is considered and approached with love and care.,Closed,5PM - 11PM,5PM - 11PM,5PM - 12AM,5PM - 12AM,3PM - 12AM,Closed
54,St James Bar at Sofitel St James,"6 Waterloo Place, London, SW1Y 4AN",+44 (0) 20 7747 2200,"An iconic cocktail destination in the heart of St James, designed to create a truly decadent and intimate space with an extensive spirit selection.",5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,Closed
55,The Last Tuesday Society,"11 Mare Street, London, E8 4RP",+44 (0) 20 8533 5297,"This Absinthe Parlour is truly a hidden treasure of East London. Located within The Viktor Wynd Museum of Curiosities, you're sure to stumble across all kinds of weird and wonderful things each time you visit.",Closed,3PM - 11PM,3PM - 11PM,3PM - 11PM,3PM - 11PM,12PM - 11PM,12PM - 10PM
56,The Wigmore at The Langham,"15 Langham Place, London, W1B 3DE",+44 (0) 20 7965 0198,"With Michael Roux Jr. in charge of food and a fantastic selection of cocktails and craft beer, this modern British tavern from a firm hotel favourite ticks all the boxes.",12PM - 11PM,12PM - 11PM,8AM - 11PM,8AM - 11PM,8AM - 11PM,8AM - 11PM,8AM - 12:30PM
57,Tonight Josephine Waterloo,"111 Waterloo Road, London, SE1 8UL",+44 (0) 20 7928 4918,A neon-filled wonderland found down a pink staircase opposite Waterloo Station.,Closed,5PM - 12AM,5PM - 12AM,Closed,Closed,Closed,Closed
58,Bar Elba,"Mercury House, 109-117 Waterloo Road, London, SE1 8UL",+44 (0) 20 3892 8166,An instagrammable rooftop bar right near Waterloo. Great drinks and party vibes.,4PM - 12AM,4PM - 1AM,4PM - 1AM,12PM - 2AM,12PM - 2PM,12PM - 2PM,Closed
59,Bellanger,"9 Islington Green, London, N1 2XH",+44 (0) 20 7499 6776,"An informal, Mediterranean-inspired restaurant and bar in the heart of Islington from the team behind The Wolseley and Brasserie Zédel. Perfect for light bites and bubbles at the bar.",11:45AM - 10PM,11:45AM - 10PM,11:45AM - 10PM,11:45AM - 10PM,11:45AM - 10PM,10AM - 10PM,10AM - 9PM
60,Henson's Bar at Mimi's Hotel,"56-57 Frith Street, London, W1D 3JG",+44 (0) 20 8017 9100,"A sleek, art-lined hotel bar, almost hidden away in the heart of Soho... perfect for meetings in the day and handcrafted classic cocktails at one of the velvet barstools in the evening.",12PM - 11:30PM,12PM - 11:30PM,12PM - 11:30PM,12PM - 11:30PM,12PM - 12AM,12PM - 12AM,12PM - 10:30PM
61,Home Bar,"5a Ravey Street, London, EC2A 4QW",Cuban Espresso Martini - £8,"Seriously fun and absolutely tiny, garage-sized cocktail bar, hidden deep in the back roads of Shoreditch and with a penchant for polaroids and tequila.",5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 10:30PM,5PM - 10:30PM
62,"The Ned: Millie's Lounge, Nickel Bar & Electric Diner","27 Poultry, London, EC2R 8AJ",+44 (0) 20 3828 2000,"Always one of the most popular spots during London Cocktail Week, set in the former Midland Bank building in the heart of the City of London. The Ned boasts ten different restaurants and bars, all under one roof.",7AM - 11PM,7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 12AM,7AM - 10:30PM
63,Eve Bar,"34 - 35 Southampton Street, London, WC2E 7HF",+44 (0) 20 7199 8375,"Tucked away beneath Michelin-starred Frog by Adam Handling, lies this innovative drinking den. The cocktails are complex and intriguing, with in house experimentations take place in the state-of-the-art cocktail lab.",4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 2AM,4PM - 2AM,Closed
64,Trafalgar St James: Rockwell & Rooftop,"2 Spring Gardens, London, SW1A 2TS",+44 (0) 20 7870 2900,"Step into whimsical Rockwell on the ground floor with its orchard décor and creative cocktail list, before heading up to the Rooftop bar for a glass of something bubbly and fine views over Trafalgar Square.",12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 1AM,12PM - 1AM,12PM - 11PM
65,The Bloomsbury Hotel: The Coral Room & Bloomsbury Club,"16-22 Great Russell Street, London, WC1B 3NN",+44 (0) 20 7347 1221,Two iconic and beautiful bars found in the same hotel. One famous for it's vibrant and visually pleasing colour scheme and the other it's understated nod to the decadent 1930s.,10AM - 11PM,10AM - 11PM,10AM - 11PM,10AM - 11PM,10AM - 1AM,10AM - 1AM,10AM - 11PM
66,Kosmopol,"138 Fulham Road, London, SW10 9PY",+44 (0) 20 7565 0911,Old-school cocktail bar in the heart of Chelsea with Scandinavian influences throughout from their Swedish owner. Light and inviting interiors and a super little club downstairs for a boogie.,Closed,5:30PM - 1AM,5:30PM - 1AM,5:30PM - 1AM,5:30PM - 2AM,5:30PM - 2AM,5PM - 12:30AM
67,Big Chill Brick Lane,"Dray Walk, London, E1 6QL",+44 (0) 20 7392 9180,"Round the corner from the Truman Brewery, you'll find this pared back all-rounder, with an outside space, locally-brewed beers, good burgers and more of a party-vibe by night.",12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 1AM,12PM - 1AM,12PM - 12AM
68,Dickie's Bar at Corrigan's Mayfair,"28 Upper Grosvenor Street, London, W1K 7EH",+44 (0) 20 7499 9943,Sneak past the restaurant to find this cosy bar reminiscent of a hunting lodge - which is as wonderful as it's reputation.,Closed,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,Closed
69,Laki Kane,"144-145 Upper Street, London, N1 1QY",+44 (0) 20 7607 0766,"Fantastic tropical-escape-inspired bar in the heart of Islington, with live performances, rum-tasting workshops, some of the biggest smiles in the industry and tiki mugs galore!",5PM - 12:30AM,5PM - 12:30AM,5PM - 12:30AM,5PM - 1AM,4PM - 2:30AM,12PM - 2AM,12PM - 1AM
70,The Perception Bar at W London,"W London, 1st floor, 10 Wardour Street, London, W1D 6QF",+44 (0) 20 7758 1060,"This bar is the life of the party. With décor inspired by London social scenes, live DJs and colourful cocktails you're sure to have a great time here.",6:30AM - 12AM,6:30AM - 12AM,6:30AM - 12AM,6:30AM - 1AM,6:30AM - 2:30AM,7AM - 2:30AM,7AM - 1AM
71,Fitz's at The Kimpton Fitzroy,"Kimpton Fitzroy London, 1-8 Russell Square, London, WC1B 5BE",+44 (0) 20 7123 5000,"A glamorous cocktail den at the heart of the historic Kimpton Fitzroy Hotel - where past meets present. Ostrich feathers, plush furnishings and art-deco touches go hand-in hand with a ginormous disco ball and a playlist of upbeat funk.",5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM
72,Bokan Bar,"Floor 38-39, 40 Marsh Wall, London, E14 9TP",Mezcal Gimlet - £8,Drinks pair perfectly with the views at this Canary Wharf rooftop bar - where you'll find three floors of distinctly rustic decor inspired by the history of the Docklands.,4PM - 10PM,4PM - 10PM,4PM - 10PM,4PM - 11PM,1PM - 12AM,12PM - 12AM,12PM - 10PM
73,Mr Fogg's Society of Exploration,"1A Bedford St, London, WC2E 9HH",+44 (0) 20 7590 5255,A celebration of Phileas Fogg's travels can be found within these very doors. Taste elixirs from all corners of the globe amongst all manner of mechanical contraptions.,Closed,6PM - 2AM,6PM - 2AM,4PM - 2AM,4PM - 2AM,1PM - 2AM,3PM - 12AM
74,Blame Gloria,"20 Bedford Street, London, WC2E 9HP",+44 (0) 20 8191 7665,Cocktail bar inspired by 1970's New York. Remember to bring your disco shoes!,5PM - 11:30PM,5PM - 11:30PM,5PM - 11:30PM,4PM - 11:30PM,4PM - 12AM,12:30PM - 12AM,1PM - 10:30PM
75,La Goccia Bar Covent Garden,"Petersham Nurseries, 1 Floral Court, London, WC2E 9FB",+44 (0) 75 8842 7676,"A touch of the acclaimed Petersham Nurseries green-fingered magic in the heart of Covent Garden. Enjoy seasonal cocktails, fine Italian wines and craft beers as well as non-alcoholic beverages, inspired by the seasons.",Closed,11:30AM - 10PM,11:30AM - 10PM,11:30AM - 11PM,11:30AM - 11PM,11:30AM - 11PM,11:30AM - 6PM
76,Little Mercies,"20 Broadway Parade, London, N8 9DE",+44 (0) 78 5237 1520,Neighbourhood cocktail bar and restaurant from Alan Sherwood. Using modern techniques to create their carefully crafted simplistic cocktails.,Closed,6PM - 12AM,6PM - 12AM,6PM - 12AM,6PM - 12AM,6PM - 12AM,Closed
77,Fam Bar,"Corner of Picton Place, 31 Duke Street, London, W1U 1LG",La Guappa Caliente - £8,"A perfectly designed neighbourhood bar, smack bang in the middle of Oxford Street with an excellent vinyl collection and popular terrace. Enjoy a truly great drink, stay for snacks and make some friends while you're there!",Closed,4PM - 11PM,4PM - 11PM,4PM - 11PM,4PM - 11PM,2PM - 11PM,Closed
